#Digilent WaveForms Logger
#Device Name: Discovery2
#Serial Number: SN:210321A42360
#Date Time: 2019-12-04 16:01:53.755

Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),C2 DC (V),C2 True RMS (V),C2 AC RMS (V)
0,0.381343305927596,0.3813456002384047,0.001322817215774869,-0.02919978940977222,0.02922241766355311,0.001149779339021813
5,0.3820242032854778,0.3820280686914228,0.001718537802977529,-0.02932604540141385,0.0293545474460994,0.001293258241758834
10,0.3825127516549934,0.3825171683770597,0.001838185114639684,-0.02906535856975081,0.02908089475771162,0.0009504583742801623
15,0.3822666713764363,0.3822708841550007,0.001794666376771469,-0.02911349934354216,0.02913161273575977,0.00102713999053946
20,0.3816264111287868,0.3816294089173849,0.001512639938012196,-0.02916209427557711,0.02918277768903744,0.001098531342510641
25,0.3823334968465794,0.3823377699669644,0.001807631698842195,-0.02921568494828816,0.0292389772609945,0.001166852292128825
30,0.3817952808979124,0.3817987213332931,0.001620831824815074,-0.02933376609154993,0.02936255400736867,0.00129990181250452
35,0.3823407212217392,0.3823450146857745,0.001811946658666586,-0.02915391942719753,0.02917459193727938,0.001098087764984418
40,0.3822738957515927,0.3822781257725028,0.001798352307385118,-0.02898769751014408,0.02899912222855376,0.0008139306403742861
45,0.3823985162229247,0.3824028539410764,0.001821398573685345,-0.02944503486116237,0.02947864189106321,0.00140721347593164
50,0.3819826631283643,0.381986419932962,0.001694131797557101,-0.02939189834669423,0.0294232585623601,0.001358107508781223
55,0.3819808570345772,0.3819846453230232,0.00170121182412876,-0.02915437358544068,0.02917472179091868,0.001089445922664545
60,0.3826631089627879,0.382667573252166,0.001848420301960223,-0.02980881561405738,0.02985454475040162,0.0016517729690152
65,0.3826680757207073,0.3826725407169172,0.001848578625132501,-0.02924974681653664,0.02927467793440615,0.001207923562150775
70,0.3829484717812167,0.3829528721813144,0.00183583014777551,-0.02900722631460667,0.02902069675004422,0.0008841161640753119
75,0.3828324302553732,0.3828368822857265,0.001846288981100453,-0.02938599428953117,0.02941704736611227,0.001351301356484941
80,0.3829033194365272,0.3829077441021136,0.001840776423365819,-0.02888142448120829,0.02888787301577685,0.0006103501554490806
85,0.3827281283391407,0.382732601142981,0.001850339339093221,-0.02885145003714959,0.02885732582220092,0.0005823095078066309
90,0.3826662696269185,0.3826707387379701,0.001849425873091833,-0.02895363564189548,0.02896442366751663,0.0007904565188023567
95,0.3826734940020754,0.382677959695838,0.001848736107667356,-0.02905900035434456,0.02907424765861669,0.0009414750772791385
100,0.3832320285058497,0.3832361550433278,0.001778443045414976,-0.02968346793890247,0.02972551777989707,0.00158055003193288
105,0.3832731171395092,0.3832771866251259,0.001766200841229062,-0.02923748454396739,0.02926188845307696,0.001194827762459809
110,0.3822702835640165,0.382274504980902,0.00179651391884242,-0.02911349934354244,0.02913172873868652,0.001030424804797499
115,0.3822400314930786,0.3822442160974704,0.001788592776423646,-0.02904219649934186,0.02905698452786903,0.0009269155014177797
120,0.3818846825403873,0.3818882811367411,0.001657863258145665,-0.02907353341813064,0.02908962964841385,0.0009675782485496915
125,0.3816941396458157,0.3816972426065889,0.001539082031087014,-0.02907898331705031,0.02909525787249177,0.0009730158857021183
130,0.3817790260538271,0.3817823698570318,0.001597873282808391,-0.02937963607412479,0.02941041878971667,0.001345257424731352
135,0.382367361105094,0.3823716669775887,0.001814626332970749,-0.02918389387125604,0.02920561725937356,0.001126240654831153
140,0.3825375854445658,0.3825420104552446,0.001839968849277479,-0.03000637444989934,0.03005677807484118,0.001739942703932968
145,0.3820558099267529,0.3820597185261669,0.001728184448803048,-0.02959036549902329,0.02962931887683946,0.001518817546639897
150,0.3817505800766739,0.3817538744915082,0.001585969856484627,-0.0294155145753466,0.02944780335409997,0.001378631440823486
155,0.381902743478262,0.3819063899406756,0.001668892229867736,-0.02953904561752824,0.02957615839238662,0.001481191836786088
160,0.3820056908241508,0.3820094957994129,0.001705009931455999,-0.02938508597304473,0.02941610051807603,0.001350441426595403
165,0.3822919566894751,0.3822961855292926,0.001798143700397795,-0.02947864257116729,0.02951346629747911,0.001433291684914105
170,0.3822242281724434,0.3822283794836395,0.001781426578794025,-0.02936056142790568,0.02939052409069551,0.001326777661941796
175,0.3818973251969059,0.3819009162815282,0.001656159444130903,-0.02967665556525296,0.02971848939472048,0.00157630148315653
180,0.3817704471083375,0.381773782767904,0.001595908393385304,-0.03030521057400039,0.03036012514564084,0.001825215309132045
185,0.3814625081175703,0.3814649344898899,0.00136056826833726,-0.03024526168588281,0.0302995148397659,0.001812386569644576
190,0.3816607269107439,0.381663742852277,0.001517281106222409,-0.02997912495530034,0.03002896479609169,0.001729391118181008
195,0.3813442089744936,0.3813463050896143,0.001264391990853806,-0.0293042458057345,0.02933170863066023,0.001268979492091862
200,0.38143857737489,0.381440989650403,0.001356567611938744,-0.02940552309399381,0.0294373972325362,0.001369513561459251
205,0.3814643142113632,0.3814667947030272,0.001375661384342449,-0.02975204583364293,0.02979617784375634,0.001621105428343399
210,0.3814114859680737,0.3814138586594578,0.0013453434900919,-0.03051412336592577,0.03057040383241411,0.001854148237385636
215,0.380893137051072,0.380894202121964,0.0009007538555450348,-0.03081977186367658,0.03087547046563842,0.001853736428289403
220,0.3809008129496699,0.3809018972888326,0.0009088743041481631,-0.03007676897761303,0.03012851020470622,0.001764963178811162
225,0.3807906412286365,0.3807915200226555,0.0008180915831364169,-0.0304914154537596,0.03054761757018263,0.001852167066040578
230,0.3808186356823426,0.3808196292302833,0.0008698989136587074,-0.03027069454750895,0.03032524309778035,0.001818081557894483
235,0.3807563254466732,0.3807573530720957,0.0008846190169895392,-0.03053365217038792,0.03058998644267464,0.001855628114925146
240,0.380553139895588,0.3805547482238001,0.001106395626265543,-0.0299768541640841,0.03002664585994652,0.001728489520976893
245,0.3805179210667324,0.3805196034552364,0.001131530280080436,-0.02952178760428219,0.02955825993342267,0.00146791925516392
250,0.3803007382887928,0.3803031152210752,0.00134458315033036,-0.02968346793890255,0.02972551777989743,0.001580550031932843
255,0.3803052535232612,0.3803076020871785,0.00133654326655898,-0.02983061520973664,0.02987692734312,0.001662884143583571
260,0.3803684668058219,0.3803706102413135,0.001276947583930769,-0.03002999067855208,0.03008086211453403,0.001748692482961788
265,0.3803540180555224,0.3803562386544707,0.001299704732066794,-0.02932241213546698,0.02935075180575984,0.001289487542169923
270,0.3804930872771544,0.3804949541494484,0.001191917565884383,-0.02909351638083645,0.02911097701879174,0.001008110900121386
