#Digilent WaveForms Logger
#Device Name: Discovery2
#Serial Number: SN:210321A42360
#Date Time: 2019-12-04 16:34:53.120

Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),C2 DC (V),C2 True RMS (V),C2 AC RMS (V)
0,0.3868699529173141,0.3868741158126253,0.001794718802231559,-0.03205689891846605,0.03208067481571949,0.00123487989828431
5,0.3867480415866529,0.3867523273426282,0.001820723440522323,-0.03187614393762673,0.03190737866420254,0.0014114747211816
10,0.3863615375161365,0.3863659633223833,0.001849308578203792,-0.03188295631127654,0.03191392499520617,0.001405597898729785
15,0.3861014600107254,0.3861057725144532,0.001824868920216726,-0.03100370595221923,0.03105761020592767,0.001829034972815752
20,0.3861989890752462,0.3862033694747772,0.001839410485407434,-0.03162317779610067,0.03166333333925804,0.001594146865657641
25,0.3860734655570284,0.3860777842962052,0.00182612153609744,-0.03141471916241921,0.03146080322497004,0.001702221932288218
30,0.3857799753165493,0.3857839108303831,0.001742555693594672,-0.03184299038586472,0.03187550066080656,0.001439272615888204
35,0.3857434019173613,0.3857473270218101,0.001740167146568881,-0.03096283171032063,0.0310172271396111,0.001836145938844627
40,0.3855605349213621,0.3855641653180112,0.001673167212363436,-0.03127438426523488,0.03132372191736055,0.001757396821055101
45,0.3855903354688657,0.3855940571073297,0.001694127946642676,-0.03016669230978974,0.03021989454243293,0.001792400971465741
50,0.3856418091417974,0.3856455427640189,0.001696966583978343,-0.03026524464858889,0.0303197317375411,0.001816892676443106
55,0.3858418340287736,0.3858458757631509,0.001766056835826014,-0.03074937733596275,0.03080547772003769,0.001858292498636021
60,0.3861845403249466,0.3861889035728784,0.001835771455621231,-0.03037605925995806,0.0304315998724833,0.001837741721442913
65,0.3858147426219681,0.3858187688256596,0.001762598564550627,-0.03104094692817082,0.03109435800550262,0.001821733673439855
70,0.3857533354331902,0.3857572908074533,0.001746886738817987,-0.03059133026728876,0.03064775040309646,0.001858794568623081
75,0.385617426875678,0.3856211278685731,0.001689481699278211,-0.03004089047639159,0.03009197132392233,0.001752608782782471
80,0.3857501747690633,0.385754129002184,0.001746627572319528,-0.02964986022889705,0.02969082827093404,0.001559189475717268
