#Digilent WaveForms Logger
#Device Name: Discovery2
#Serial Number: SN:210321A42360
#Date Time: 2019-12-04 15:24:27.956

Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),C2 DC (V),C2 True RMS (V),C2 AC RMS (V)
0,0.5546303289369912,0.5546550641854179,0.00523817237230421,-0.02992462596610229,0.03002080183413861,0.002401104652794491
5,0.5534098610601065,0.5534378896641797,0.005569865113456078,-0.02939326082142366,0.02949047012811887,0.002392497996121192
10,0.5529461464801791,0.55297407380573,0.005557462913498135,-0.0292424802846431,0.02934092838938616,0.002401546492068634
15,0.5523925787343099,0.5524134277535541,0.004799387636224761,-0.02954858294063752,0.02964156161835447,0.002345937206148605
20,0.5525479028000283,0.5525711169637295,0.005065018639966263,-0.02967029734984583,0.02976562050233392,0.002380256091449122
25,0.5525700274489277,0.5525981252656873,0.005572505023736849,-0.02965394765308665,0.02975007865937065,0.002389679649441668
30,0.552367293421291,0.5524025426075024,0.00624037159694892,-0.02955448699780052,0.02964960645121703,0.002373069954529581
35,0.5525975703791878,0.5526405561506255,0.006892714522014696,-0.02950770869873906,0.02960335651165237,0.002377781341199864
40,0.5524612102982305,0.5524924233633534,0.005872732729587361,-0.0296180691518647,0.02971381367161818,0.00238342246091857
45,0.5518651993483698,0.5518967780896045,0.005903847378018759,-0.02948500078657337,0.02958045365512738,0.002374440367565241
50,0.5514096121904832,0.5514403082639037,0.005818347026890289,-0.02971480485769071,0.02981007641295076,0.00238139203314267
55,0.5513748448850756,0.5514068306875307,0.005939137717439757,-0.02937327785871782,0.02946911097531299,0.002374668294747899
60,0.551219520819355,0.5512546103125084,0.006219747461127319,-0.02946683445684086,0.02956241580893057,0.002375309570030339
65,0.5512759612502158,0.5513052880379702,0.005686401875067965,-0.02931469144533021,0.02940992351074811,0.00236483960838011
70,0.5511468255444109,0.5511726428062352,0.005334685588795566,-0.02907535005110288,0.02917262945276364,0.002380405132384551
75,0.5504158090839317,0.5504407578780657,0.005240710244496237,-0.02971480485769087,0.02980814917999682,0.002357144417832196
80,0.5503909752943571,0.5504200284274259,0.005655263794589092,-0.02961352756943162,0.02971151503610613,0.002411039326827463
85,0.5498726263773543,0.5499093732949004,0.006357169061963633,-0.02907217094340004,0.02916899794672417,0.002374724795415914
90,0.549860886767734,0.5499011723593142,0.006656167453376504,-0.02894001089459501,0.0290399720741245,0.002407435873883817
95,0.5491614769485437,0.5491999471238201,0.006500319725432509,-0.02861892101657154,0.0287186934567593,0.002391801352702525
100,0.5482028926708381,0.5482409903714158,0.006463125466091627,-0.02880421757984381,0.02890371051400783,0.002396149221312882
105,0.547790200240396,0.5478300125955051,0.006604484916056494,-0.02872882731145384,0.02882777850928277,0.002386481738704952
110,0.5475310257818881,0.5475709000810143,0.006608057337926407,-0.02882828796673962,0.02892736684050817,0.002392146574164786
115,0.5471354912424201,0.5471675164775659,0.005919908035707483,-0.02932150381897984,0.02941570449654202,0.002352251011614651
120,0.5468862502997458,0.5469161683111772,0.00572052386317595,-0.0290126762135258,0.02910789511874239,0.002352483192940106
125,0.5471580674147605,0.5472024141381744,0.006966441099604331,-0.02963487300686733,0.02973120690798144,0.002391435985400388
130,0.5470176436227713,0.547063597141117,0.00709061932107059,-0.02932786203438631,0.02942388240998876,0.002375155693647354
135,0.5464947794712974,0.5465399519747262,0.007026742854258197,-0.02914983200300672,0.02924665607340329,0.002377853164650519
140,0.5463403584524597,0.5463874637122413,0.007174484505021681,-0.02937918191588082,0.02947645768311546,0.002392744762460883
145,0.5463769318516517,0.5464356229313517,0.008008642127428798,-0.02926927562099867,0.02936656012403552,0.002388379815027053
150,0.5459226992640995,0.5459828354819954,0.008103275209862313,-0.02904401313231432,0.02914303438684228,0.002400365481096838
155,0.5449650180332717,0.5450165602657063,0.007495337471023036,-0.02906354193677698,0.02916073635495793,0.00237888100854211
160,0.5450869293639293,0.5451368601947055,0.007378060686517665,-0.02880330926335725,0.02890116836274392,0.002376322413161018
165,0.5446566275190604,0.5447040422480808,0.007186914561141543,-0.02897043949689744,0.02906731881878449,0.002371214597987343
170,0.5440276553575794,0.5440762615198887,0.00727245182479467,-0.02879013867430134,0.02888760028996609,0.002370941928345758
175,0.5434966637840608,0.5435479425632314,0.007466077970833055,-0.02870657355753111,0.02880556369036919,0.002386028940769716
180,0.5429281957644601,0.5429820898028325,0.007650103957177717,-0.02881148411173712,0.02891007444858337,0.002385537235506845
185,0.5426283841957474,0.5426821290809302,0.007637400663036543,-0.02933467440803597,0.02943092373841857,0.002378266064034094
190,0.5421253870759405,0.5421822679526477,0.007853430461030677,-0.02886916220863781,0.0289685634381692,0.002397736650009146
195,0.5419524535957946,0.5420116149170792,0.008008042612953646,-0.02850311066452614,0.02860268635182302,0.002384606673389101
200,0.5416941821841865,0.5417497871785696,0.007761758550989236,-0.02898179345298022,0.02907685361008947,0.002349268846172346
205,0.5416061351120484,0.5416627646346989,0.007832304939692787,-0.02901222205528235,0.02910991270442503,0.00238285313741032
210,0.5413311573329123,0.5413859934740726,0.007705324814653531,-0.02884372934701234,0.02894320543672132,0.002397585933553637
215,0.5411297778756127,0.5411887239919979,0.007987394591542404,-0.02899587235852292,0.02909361405008724,0.002382806048318342
220,0.5410692737337287,0.5411286970537165,0.008019214193795197,-0.02903447580920461,0.02913322943270517,0.002396721023307635
225,0.5395787948356472,0.5396312481574986,0.007523838896075479,-0.02856987192629328,0.02866615545233528,0.00234752774911718
230,0.5393733516673308,0.5394270294864414,0.007609707730133817,-0.02881920480187327,0.02891288648709919,0.002325605212367263
235,0.5395774402653145,0.5396386994703232,0.008130923856938647,-0.02852445610196179,0.02862148813305698,0.002354779615633888
240,0.5390992769350906,0.5391646700385059,0.008397084363908111,-0.0288827869559374,0.02897948406862388,0.002365399446558728
245,0.5394916508104122,0.5395625396873366,0.008746024224372925,-0.02855851797021035,0.0286550098916497,0.002349604910604406
250,0.538954337908647,0.5390242704245323,0.008682497116596074,-0.02861165448467839,0.02870981535357782,0.002372071939497534
255,0.5385375817671967,0.5386036266323239,0.008434432160218283,-0.02836322992558471,0.0284594528733844,0.002338299818461644
260,0.5382589918004839,0.5383160721294858,0.007839085334707552,-0.02807302280810647,0.02816542839730226,0.002279637519281836
265,0.5379465375752553,0.5379998660484657,0.007574864949446213,-0.02852536441844829,0.0286212805761635,0.002341214773235805
270,0.538009299334369,0.5380736273550676,0.008319993078290046,-0.02854307658993795,0.02863912990964969,0.002343617025661731
275,0.5379591802317679,0.538033758625026,0.008958003381325842,-0.02858122588237627,0.02868047820966595,0.002383979319528131
280,0.5380977979299607,0.5381941857605489,0.01018535465428577,-0.02836822566626132,0.02846726883374699,0.002372586647757429
285,0.5371690141997604,0.5372474423816983,0.009179571307055205,-0.02824787373178266,0.02834782373233287,0.002378390210391451
290,0.5369229339212105,0.5369971341209303,0.008926650187708817,-0.02870339444982818,0.02880253121685047,0.002387666550307766
295,0.5362993800410999,0.5363626516360791,0.008238266666498002,-0.02848494433479326,0.02858036627292018,0.002333512917946607
300,0.5363368564871894,0.5364040576042203,0.008490546964726054,-0.02807801854878302,0.02817314600336169,0.00231322936630905
305,0.5360221446447193,0.5360806226313454,0.007917980255894403,-0.02833552627274298,0.02842994371197874,0.002315091858482867
310,0.5355891336591776,0.535658132017566,0.008597342775927089,-0.02874699364118631,0.02884199942011385,0.00233907826796755
315,0.5353949785770281,0.5354798758638721,0.009534902712612136,-0.02871111513996439,0.02880863844404702,0.00236844177039841
320,0.5350861365393691,0.5351646958515479,0.0091694148830169,-0.02853853500750455,0.02863580093284496,0.002358201579845829
325,0.5346951172343811,0.5347686211327881,0.008866214187533694,-0.02847222790398043,0.02856837541131039,0.002341860761356743
330,0.5341307129257866,0.534208448178997,0.009113046430205558,-0.02847086542925047,0.0285685690334722,0.002360711403368677
335,0.5336123640087791,0.5336920512316398,0.009222284143957682,-0.02807347696634964,0.02817072165486484,0.002338685437574125
340,0.5328420650083978,0.5329215946295704,0.00920650748806234,-0.02796538730444057,0.02806341578896588,0.002343590974812623
345,0.5324989071887649,0.5325799526521786,0.009290845482257086,-0.02817157514690592,0.02826612587288456,0.002310027186898839
350,0.5323598379671315,0.5324324092575523,0.008790526003665694,-0.02826059016259554,0.02835674993683942,0.002333304661305502
355,0.5317435084621441,0.5318168588111735,0.008832469878554714,-0.02911804092597486,0.02921469295279522,0.002374442452364211
360,0.5310729961435142,0.5311470569180158,0.008869545636570351,-0.02875062690713263,0.02884732637055138,0.002360019316910051
365,0.5311763950128496,0.5312554036427268,0.009161947431064981,-0.02862164596603115,0.02871777870369027,0.0023478066082015
370,0.5309912703996388,0.5310667836898215,0.00895541724400315,-0.02886098736025853,0.02895833335192525,0.002372441593056609
375,0.5306350184000461,0.5307221393834579,0.009615949215322696,-0.0289463691100017,0.02904464912598238,0.00238733286309201
380,0.5306882981667772,0.5307752234226103,0.009605622736031126,-0.02921205168234093,0.0293093982001397,0.002386809452556381
385,0.5300123675668162,0.5300948784092525,0.009352558041271775,-0.02926110077261899,0.02935715941091136,0.002372928623560989
390,0.5292199439175657,0.5293037027662483,0.009415982260581672,-0.02962715231673116,0.02972227638777589,0.002376038567192823
395,0.5285516892162055,0.5286248665441478,0.008795530427460617,-0.02940234398629,0.0294968202267946,0.002358934421285673
400,0.5282857419059952,0.528360934721231,0.008913598505099853,-0.02938236102358428,0.02947489242047847,0.002333697469418811
405,0.5276030384543462,0.5277007425967458,0.01015418883496078,-0.02948636326130315,0.029582151617392,0.002378671044307494
410,0.5278197697088427,0.5279049157579502,0.009481075145235836,-0.02906808351921004,0.02916458477795492,0.002370553899613847
415,0.5279638056883834,0.5280512039692298,0.009606971238719135,-0.02914392794584373,0.02923884710608696,0.002354069663545697
420,0.5268783433221311,0.5269652849746477,0.00957198550670502,-0.02878468877538148,0.02887994242928733,0.002343665254172153
425,0.5264778420247598,0.5265670839813108,0.009694111074914231,-0.02933967014871276,0.0294353821736064,0.002371809282223768
430,0.5261721606512301,0.5262680584988458,0.01004623072360025,-0.02948454662832995,0.02957912600182047,0.002363515422756502
435,0.5261726121746786,0.5262808206285756,0.01067166148053575,-0.02918116892179547,0.02927730067088283,0.002370593792940418
440,0.5252320888348629,0.5253452788665418,0.01090481020102914,-0.02919661030206832,0.0292914502861141,0.002355208426718532
445,0.5246103410485282,0.5246929503416367,0.009310327767779441,-0.02919206871963519,0.02928565691849422,0.002339406979573022
450,0.524258604283422,0.5243427715256501,0.009394566833465979,-0.02967710972349593,0.02977292152381446,0.002386632465010191
455,0.5237836016173235,0.5238709861244658,0.009568112655844377,-0.02948545494481666,0.02957835391480452,0.002342427588385388
460,0.5227125880013608,0.5228091866483188,0.0100496760543442,-0.02915573606016999,0.02925221030715958,0.002373786562483658
465,0.5224141310029835,0.5225216350179688,0.0105988107946517,-0.02976930384688875,0.02986229397949523,0.002354814257990749
470,0.5218041228262716,0.5219104712895276,0.01053553241154104,-0.02986649371095808,0.0299592776823061,0.002356029002162256
475,0.5209123640187101,0.5210226700711164,0.01072062220793837,-0.02967120566633256,0.02976337725847872,0.00234055124637861
480,0.5194047272296189,0.5195166954887285,0.01078546350966745,-0.02953722898455467,0.02963083998145995,0.002353461688893682
485,0.5183346166604994,0.5184528590281755,0.01107213646528863,-0.02933331193330609,0.02942715003696798,0.002348184473545227
490,0.5181661984148128,0.5182843587246486,0.01106649533318198,-0.02915982348435974,0.02925453104858466,0.002352080192895617
495,0.5182790792765385,0.5184017691873544,0.0112778668573222,-0.02960853182875513,0.02970266122963099,0.002362821844328758
500,0.517673134810814,0.5178008386271039,0.01149930337210828,-0.02929243769140783,0.02938837872500039,0.002372740647282866
505,0.517757118171931,0.5179116380491203,0.01265035212887753,-0.02953495819333804,0.02963105607364633,0.002384476579369928
