#Digilent WaveForms Logger
#Device Name: Discovery2
#Serial Number: SN:210321A42360
#Date Time: 2019-12-04 17:08:56.753

Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),C2 DC (V),C2 True RMS (V),C2 AC RMS (V)
160,0.3957825742349848,0.3957837737004371,0.0009744005706615994,-0.03268045818653759,0.03268910795959881,0.0007519520677989641
165,0.3961957181888702,0.3961979394799113,0.001326701517579167,-0.0325414857640833,0.03254264969150448,0.0002752330102673869
170,0.396286474401688,0.3962889712231937,0.001406740700830853,-0.03264730463477562,0.03265406065192941,0.0006642116711153525
175,0.3966427264012655,0.3966460847198904,0.001632212169912081,-0.03256691862570892,0.03256930372345891,0.0003941525813289704
180,0.3969028039066653,0.3969066538907295,0.001748185843457133,-0.0325841766389549,0.03258757055987899,0.0004703060242867353
185,0.3968034687483471,0.3968071401202863,0.00170693869151377,-0.03251968616840416,0.03252080287684283,0.0002695018793454352
190,0.3965370699146944,0.3965401939319881,0.001574035280540072,-0.03256283120151914,0.03256680412843577,0.0005086799399184082
195,0.3965740948373374,0.3965772875487294,0.001591321284078664,-0.03263277157098955,0.03263885720240571,0.0006302531829802656
200,0.3968305601551595,0.3968342750623049,0.001717087983997935,-0.0325264985420539,0.03252743353801014,0.0002466275804358896
205,0.3961862361964798,0.3961884383787565,0.001320966859373754,-0.03252786101678386,0.03252845823044791,0.0001971104329763929
210,0.395384330554852,0.3953857433624689,0.001056979645541937,-0.03250560726286144,0.03250820062137653,0.0004106143108563282
215,0.3947151728066053,0.3947184931148313,0.001619000644756571,-0.03253649002340683,0.03253737070994193,0.0002393943878517383
220,0.3937556854820267,0.3937600275951077,0.001849184219859019,-0.03251877785191754,0.03251994639761812,0.0002756822837848368
225,0.3922615943963731,0.3922638673337495,0.001335356605520971,-0.03256691862570892,0.0325702894192481,0.0004685766533273862
230,0.3913192649627703,0.3913218387717164,0.001419284575518481,-0.0325110571617812,0.03251557559668183,0.0005420503730573832
235,0.3902288358385809,0.3902332038581824,0.001846367656064143,-0.03249606993975182,0.03249790316515942,0.0003451790880703816
240,0.3887577724486874,0.38875988867644,0.001282733213711544,-0.03251605290245766,0.03251706504895376,0.0002565600172746663
245,0.3879260662595649,0.3879279476631406,0.001208178201051341,-0.03248335350893901,0.03248610999890955,0.0004231875170166527
250,0.3864988006439853,0.386503218151992,0.001847902224046489,-0.03250379062988817,0.03250529141969988,0.0003123539146714838
255,0.3851094629979425,0.385111792478961,0.001339483402856195,-0.0323475601941877,0.03235741632940081,0.0007985868754059084
