Kp:;2,000;Ki:;0,100;Kd:;0,100
Taget:;Current:;Delta:;PWM:;pp:;ip:;dp:
50,0;0,0;50,0;116,680;100,000;1,665;15,015
50,0;29,0;21,0;35,656;42,000;2,364;-8,709
50,0;29,0;21,0;45,064;42,000;3,064;0,000
50,0;29,5;20,5;44,596;41,000;3,746;-0,150
50,0;29,5;20,5;45,429;41,000;4,429;0,000
50,0;29,5;20,5;46,112;41,000;5,112;0,000
50,0;29,5;20,5;46,794;41,000;5,794;0,000
50,0;30,0;20,0;46,310;40,000;6,460;-0,150
50,0;30,0;20,0;47,126;40,000;7,126;0,000
50,0;30,0;20,0;47,792;40,000;7,792;0,000
50,0;30,0;20,0;48,458;40,000;8,458;0,000
50,0;30,5;19,5;47,957;39,000;9,108;-0,150
50,0;30,5;19,5;48,757;39,000;9,757;0,000
50,0;30,5;19,5;49,406;39,000;10,406;0,000
50,0;30,5;19,5;50,056;39,000;11,056;0,000
50,0;31,0;19,0;49,538;38,000;11,688;-0,150
50,0;31,0;19,0;50,321;38,000;12,321;0,000
50,0;31,0;19,0;50,954;38,000;12,954;0,000
50,0;31,0;19,0;51,586;38,000;13,586;0,000
50,0;31,5;18,5;51,052;37,000;14,202;-0,150
50,0;31,5;18,5;51,819;37,000;14,819;0,000
50,0;31,5;18,5;52,435;37,000;15,435;0,000
50,0;31,5;18,5;53,051;37,000;16,051;0,000
50,0;32,0;18,0;52,500;36,000;16,650;-0,150
50,0;32,0;18,0;53,249;36,000;17,249;0,000
50,0;32,0;18,0;53,849;36,000;17,849;0,000
50,0;32,0;18,0;54,448;36,000;18,448;0,000
50,0;32,5;17,5;53,881;35,000;19,031;-0,150
50,0;32,5;17,5;54,614;35,000;19,614;0,000
50,0;32,5;17,5;55,196;35,000;20,196;0,000
50,0;32,5;17,5;55,779;35,000;20,779;0,000
50,0;33,0;17,0;55,195;34,000;21,345;-0,150
50,0;33,0;17,0;55,911;34,000;21,911;0,000
50,0;33,0;17,0;56,478;34,000;22,478;0,000
50,0;33,5;16,5;55,877;33,000;23,027;-0,150
50,0;33,5;16,5;56,576;33,000;23,576;0,000
50,0;33,5;16,5;57,126;33,000;24,126;0,000
50,0;33,5;16,5;57,675;33,000;24,675;0,000
50,0;34,0;16,0;57,058;32,000;25,208;-0,150
50,0;34,0;16,0;57,741;32,000;25,741;0,000
50,0;34,0;16,0;58,274;32,000;26,274;0,000
50,0;34,0;16,0;58,807;32,000;26,807;0,000
50,0;34,5;15,5;58,173;31,000;27,323;-0,150
