Kp:;2,000;Ki:;0,100;Kd:;0,100
50,0;34,5;15,5;58,839;31,000;27,839;0,000
50,0;34,5;15,5;59,355;31,000;28,355;0,000
50,0;34,5;15,5;59,871;31,000;28,871;0,000
50,0;35,0;15,0;59,220;30,000;29,371;-0,150
50,0;35,0;15,0;59,870;30,000;29,870;0,000
50,0;35,0;15,0;60,370;30,000;30,370;0,000
50,0;35,0;15,0;60,869;30,000;30,869;0,000
50,0;35,5;14,5;60,202;29,000;31,352;-0,150
50,0;35,5;14,5;60,835;29,000;31,835;0,000
50,0;35,5;14,5;61,318;29,000;32,318;0,000
50,0;35,5;14,5;61,801;29,000;32,801;0,000
50,0;36,0;14,0;61,117;28,000;33,267;-0,150
50,0;36,0;14,0;61,733;28,000;33,733;0,000
50,0;36,0;14,0;62,199;28,000;34,199;0,000
50,0;36,0;14,0;62,665;28,000;34,665;0,000
50,0;36,5;13,5;61,965;27,000;35,115;-0,150
50,0;36,5;13,5;62,564;27,000;35,564;0,000
50,0;36,5;13,5;63,014;27,000;36,014;0,000
50,0;36,5;13,5;63,464;27,000;36,464;0,000
50,0;37,0;13,0;62,746;26,000;36,896;-0,150
50,0;37,0;13,0;63,329;26,000;37,329;0,000
50,0;37,0;13,0;63,762;26,000;37,762;0,000
50,0;37,0;13,0;64,195;26,000;38,195;0,000
50,0;37,5;12,5;63,461;25,000;38,611;-0,150
50,0;37,5;12,5;64,028;25,000;39,028;0,000
50,0;37,5;12,5;64,444;25,000;39,444;0,000
50,0;37,5;12,5;64,860;25,000;39,860;0,000
50,0;37,5;12,5;65,276;25,000;40,276;0,000
50,0;38,0;12,0;64,526;24,000;40,676;-0,150
50,0;38,0;12,0;65,076;24,000;41,076;0,000
50,0;38,0;12,0;65,475;24,000;41,475;0,000
50,0;38,5;11,5;64,708;23,000;41,858;-0,150
50,0;38,5;11,5;65,241;23,000;42,241;0,000
50,0;38,5;11,5;65,624;23,000;42,624;0,000
50,0;38,5;11,5;66,007;23,000;43,007;0,000
50,0;38,5;11,5;66,390;23,000;43,390;0,000
50,0;39,0;11,0;65,606;22,000;43,756;-0,150
50,0;39,0;11,0;66,123;22,000;44,123;0,000
50,0;39,0;11,0;66,489;22,000;44,489;0,000
50,0;39,0;11,0;66,855;22,000;44,855;0,000
50,0;39,5;10,5;66,055;21,000;45,205;-0,150
50,0;39,5;10,5;66,554;21,000;45,554;0,000
50,0;39,5;10,5;66,904;21,000;45,904;0,000
50,0;39,5;10,5;67,254;21,000;46,254;0,000
50,0;39,5;10,5;67,603;21,000;46,603;0,000
50,0;40,0;10,0;66,786;20,000;46,936;-0,150
50,0;40,0;10,0;67,269;20,000;47,269;0,000
50,0;40,0;10,0;67,602;20,000;47,602;0,000
50,0;40,0;10,0;67,935;20,000;47,935;0,000
50,0;40,5;9,5;67,102;19,000;48,252;-0,150
50,0;40,5;9,5;67,568;19,000;48,568;0,000
50,0;40,5;9,5;67,884;19,000;48,884;0,000
50,0;40,5;9,5;68,201;19,000;49,201;0,000
50,0;40,5;9,5;68,517;19,000;49,517;0,000
50,0;41,0;9,0;67,667;18,000;49,817;-0,150
50,0;41,0;9,0;68,117;18,000;50,117;0,000
50,0;41,0;9,0;68,416;18,000;50,416;0,000
50,0;41,0;9,0;68,716;18,000;50,716;0,000
50,0;41,0;9,0;69,016;18,000;51,016;0,000
50,0;41,5;8,5;68,149;17,000;51,299;-0,150
50,0;41,5;8,5;68,582;17,000;51,582;0,000
50,0;41,5;8,5;68,865;17,000;51,865;0,000
50,0;41,5;8,5;69,148;17,000;52,148;0,000
50,0;41,5;8,5;69,431;17,000;52,431;0,000
50,0;42,0;8,0;68,547;16,000;52,697;-0,150
50,0;42,0;8,0;68,964;16,000;52,964;0,000
50,0;42,0;8,0;69,230;16,000;53,230;0,000
50,0;42,0;8,0;69,496;16,000;53,496;0,000
50,0;42,0;8,0;69,763;16,000;53,763;0,000
50,0;42,5;7,5;68,862;15,000;54,013;-0,150
50,0;42,5;7,5;69,262;15,000;54,262;0,000
50,0;42,5;7,5;69,512;15,000;54,512;0,000
50,0;42,5;7,5;69,762;15,000;54,762;0,000
50,0;42,5;7,5;70,012;15,000;55,012;0,000
50,0;43,0;7,0;69,095;14,000;55,245;-0,150
50,0;43,0;7,0;69,478;14,000;55,478;0,000
50,0;43,0;7,0;69,711;14,000;55,711;0,000
50,0;43,0;7,0;69,944;14,000;55,944;0,000
50,0;43,0;7,0;70,177;14,000;56,177;0,000
50,0;43,5;6,5;69,243;13,000;56,394;-0,150
50,0;43,5;6,5;69,610;13,000;56,610;0,000
50,0;43,5;6,5;69,826;13,000;56,826;0,000
50,0;43,5;6,5;70,043;13,000;57,043;0,000
50,0;43,5;6,5;70,259;13,000;57,259;0,000
50,0;43,5;6,5;70,476;13,000;57,476;0,000
50,0;44,0;6,0;69,525;12,000;57,676;-0,150
50,0;44,0;6,0;69,875;12,000;57,875;0,000
50,0;44,0;6,0;70,075;12,000;58,075;0,000
50,0;44,0;6,0;70,275;12,000;58,275;0,000
50,0;44,0;6,0;70,475;12,000;58,475;0,000
50,0;44,5;5,5;69,508;11,000;58,658;-0,150
50,0;44,5;5,5;69,841;11,000;58,841;0,000
50,0;44,5;5,5;70,024;11,000;59,024;0,000
50,0;44,5;5,5;70,207;11,000;59,207;0,000
50,0;44,5;5,5;70,391;11,000;59,391;0,000
50,0;44,5;5,5;70,574;11,000;59,574;0,000
50,0;44,5;5,5;70,757;11,000;59,757;0,000
50,0;45,0;5,0;69,773;10,000;59,923;-0,150
50,0;45,0;5,0;70,090;10,000;60,090;0,000
50,0;45,0;5,0;70,256;10,000;60,256;0,000
50,0;45,0;5,0;70,423;10,000;60,423;0,000
50,0;45,0;5,0;70,589;10,000;60,589;0,000
50,0;45,0;5,0;70,756;10,000;60,756;0,000
50,0;45,5;4,5;69,756;9,000;60,906;-0,150
50,0;45,5;4,5;70,056;9,000;61,056;0,000
50,0;45,5;4,5;70,205;9,000;61,205;0,000
50,0;45,5;4,5;70,355;9,000;61,355;0,000
50,0;45,5;4,5;70,505;9,000;61,505;0,000
50,0;45,5;4,5;70,655;9,000;61,655;0,000
50,0;45,5;4,5;70,805;9,000;61,805;0,000
50,0;46,0;4,0;69,788;8,000;61,938;-0,150
50,0;46,0;4,0;70,071;8,000;62,071;0,000
50,0;46,0;4,0;70,204;8,000;62,204;0,000
50,0;46,0;4,0;70,338;8,000;62,338;0,000
50,0;46,0;4,0;70,471;8,000;62,471;0,000
50,0;46,0;4,0;70,604;8,000;62,604;0,000
50,0;46,0;4,0;70,737;8,000;62,737;0,000
50,0;46,5;3,5;69,704;7,000;62,854;-0,150
50,0;46,5;3,5;69,970;7,000;62,970;0,000
50,0;46,5;3,5;70,087;7,000;63,087;0,000
50,0;46,5;3,5;70,203;7,000;63,203;0,000
50,0;46,5;3,5;70,320;7,000;63,320;0,000
50,0;46,5;3,5;70,436;7,000;63,436;0,000
50,0;47,0;3,0;69,386;6,000;63,536;-0,150
50,0;47,0;3,0;69,636;6,000;63,636;0,000
50,0;47,0;3,0;69,736;6,000;63,736;0,000
50,0;47,0;3,0;69,836;6,000;63,836;0,000
50,0;47,0;3,0;69,936;6,000;63,936;0,000
50,0;47,0;3,0;70,036;6,000;64,036;0,000
50,0;47,0;3,0;70,136;6,000;64,136;0,000
50,0;47,0;3,0;70,236;6,000;64,236;0,000
50,0;47,5;2,5;69,169;5,000;64,319;-0,150
50,0;47,5;2,5;69,402;5,000;64,402;0,000
50,0;47,5;2,5;69,485;5,000;64,485;0,000
50,0;47,5;2,5;69,569;5,000;64,569;0,000
50,0;47,5;2,5;69,652;5,000;64,652;0,000
50,0;47,5;2,5;69,735;5,000;64,735;0,000
50,0;47,5;2,5;69,818;5,000;64,818;0,000
50,0;47,5;2,5;69,902;5,000;64,902;0,000
50,0;47,5;2,5;69,985;5,000;64,985;0,000
50,0;48,0;2,0;68,901;4,000;65,052;-0,150
50,0;48,0;2,0;69,118;4,000;65,118;0,000
50,0;48,0;2,0;69,185;4,000;65,185;0,000
50,0;48,0;2,0;69,251;4,000;65,251;0,000
50,0;48,0;2,0;69,318;4,000;65,318;0,000
50,0;48,0;2,0;69,385;4,000;65,385;0,000
50,0;48,0;2,0;69,451;4,000;65,451;0,000
50,0;48,0;2,0;69,518;4,000;65,518;0,000
50,0;48,0;2,0;69,584;4,000;65,584;0,000
50,0;48,5;1,5;68,484;3,000;65,634;-0,150
50,0;48,5;1,5;68,684;3,000;65,684;0,000
50,0;48,5;1,5;68,734;3,000;65,734;0,000
50,0;48,5;1,5;68,784;3,000;65,784;0,000
50,0;48,5;1,5;68,834;3,000;65,834;0,000
50,0;48,5;1,5;68,884;3,000;65,884;0,000
50,0;48,5;1,5;68,934;3,000;65,934;0,000
50,0;48,5;1,5;68,984;3,000;65,984;0,000
50,0;48,5;1,5;69,034;3,000;66,034;0,000
50,0;48,5;1,5;69,084;3,000;66,084;0,000
50,0;49,0;1,0;67,967;2,000;66,117;-0,150
50,0;49,0;1,0;68,150;2,000;66,150;0,000
50,0;49,0;1,0;68,184;2,000;66,184;0,000
50,0;49,0;1,0;68,217;2,000;66,217;0,000
50,0;49,0;1,0;68,250;2,000;66,250;0,000
50,0;49,0;1,0;68,284;2,000;66,284;0,000
50,0;49,0;1,0;68,317;2,000;66,317;0,000
50,0;49,0;1,0;68,350;2,000;66,350;0,000
50,0;49,0;1,0;68,384;2,000;66,384;0,000
50,0;49,5;0,5;67,250;1,000;66,400;-0,150
50,0;49,5;0,5;67,417;1,000;66,417;0,000
50,0;49,5;0,5;67,434;1,000;66,434;0,000
50,0;49,5;0,5;67,450;1,000;66,450;0,000
50,0;49,5;0,5;67,467;1,000;66,467;0,000
50,0;49,5;0,5;67,483;1,000;66,483;0,000
50,0;49,5;0,5;67,500;1,000;66,500;0,000
50,0;49,5;0,5;67,517;1,000;66,517;0,000
50,0;49,5;0,5;67,533;1,000;66,533;0,000
50,0;49,5;0,5;67,550;1,000;66,550;0,000
50,0;49,5;0,5;67,567;1,000;66,567;0,000
50,0;49,5;0,5;67,583;1,000;66,583;0,000
50,0;50,0;0,0;66,433;0,000;66,583;-0,150
50,0;50,0;0,0;66,583;0,000;66,583;0,000
50,0;50,0;0,0;66,583;0,000;66,583;0,000
50,0;50,0;0,0;66,583;0,000;66,583;0,000
50,0;50,0;0,0;66,583;0,000;66,583;0,000
50,0;50,0;0,0;66,583;0,000;66,583;0,000
50,0;50,0;0,0;66,583;0,000;66,583;0,000
50,0;50,0;0,0;66,583;0,000;66,583;0,000
50,0;50,0;0,0;66,583;0,000;66,583;0,000
50,0;50,0;0,0;66,583;0,000;66,583;0,000
50,0;50,0;0,0;66,583;0,000;66,583;0,000
50,0;50,0;0,0;66,583;0,000;66,583;0,000
50,0;50,0;0,0;66,583;0,000;66,583;0,000
50,0;50,0;0,0;66,583;0,000;66,583;0,000
50,0;50,0;0,0;66,583;0,000;66,583;0,000
50,0;50,0;0,0;66,583;0,000;66,583;0,000
50,0;50,5;-0,5;65,417;-1,000;66,567;-0,150
50,0;50,5;-0,5;65,550;-1,000;66,550;0,000
50,0;50,5;-0,5;65,533;-1,000;66,533;0,000
50,0;50,5;-0,5;65,517;-1,000;66,517;0,000
50,0;50,5;-0,5;65,500;-1,000;66,500;0,000
50,0;50,5;-0,5;65,483;-1,000;66,483;0,000
50,0;50,5;-0,5;65,467;-1,000;66,467;0,000
50,0;50,5;-0,5;65,450;-1,000;66,450;0,000
50,0;50,5;-0,5;65,434;-1,000;66,434;0,000
50,0;50,5;-0,5;65,417;-1,000;66,417;0,000
50,0;50,5;-0,5;65,400;-1,000;66,400;0,000
50,0;50,5;-0,5;65,384;-1,000;66,384;0,000
50,0;50,5;-0,5;65,367;-1,000;66,367;0,000
50,0;50,5;-0,5;65,350;-1,000;66,350;0,000
50,0;50,5;-0,5;65,334;-1,000;66,334;0,000
50,0;50,5;-0,5;65,317;-1,000;66,317;0,000
50,0;50,5;-0,5;65,300;-1,000;66,300;0,000
50,0;50,5;-0,5;65,284;-1,000;66,284;0,000
50,0;51,0;-1,0;64,100;-2,000;66,250;-0,150
50,0;51,0;-1,0;64,217;-2,000;66,217;0,000
50,0;51,0;-1,0;64,184;-2,000;66,184;0,000
50,0;51,0;-1,0;64,150;-2,000;66,150;0,000
50,0;51,0;-1,0;64,117;-2,000;66,117;0,000
50,0;51,0;-1,0;64,084;-2,000;66,084;0,000
50,0;51,0;-1,0;64,051;-2,000;66,051;0,000
50,0;51,0;-1,0;64,017;-2,000;66,017;0,000
50,0;51,0;-1,0;63,984;-2,000;65,984;0,000
50,0;51,0;-1,0;63,951;-2,000;65,951;0,000
50,0;51,0;-1,0;63,917;-2,000;65,917;0,000
50,0;51,0;-1,0;63,884;-2,000;65,884;0,000
50,0;51,0;-1,0;63,851;-2,000;65,851;0,000
50,0;51,0;-1,0;63,817;-2,000;65,817;0,000
50,0;51,0;-1,0;63,784;-2,000;65,784;0,000
50,0;51,0;-1,0;63,751;-2,000;65,751;0,000
50,0;51,0;-1,0;63,718;-2,000;65,718;0,000
50,0;51,0;-1,0;63,684;-2,000;65,684;0,000
50,0;51,0;-1,0;63,651;-2,000;65,651;0,000
50,0;51,0;-1,0;63,618;-2,000;65,618;0,000
50,0;51,0;-1,0;63,584;-2,000;65,584;0,000
50,0;51,0;-1,0;63,551;-2,000;65,551;0,000
50,0;51,5;-1,5;62,351;-3,000;65,501;-0,150
50,0;51,5;-1,5;62,451;-3,000;65,451;0,000
50,0;51,5;-1,5;62,401;-3,000;65,401;0,000
50,0;51,5;-1,5;62,351;-3,000;65,351;0,000
50,0;51,5;-1,5;62,301;-3,000;65,301;0,000
50,0;51,5;-1,5;62,251;-3,000;65,251;0,000
50,0;51,5;-1,5;62,201;-3,000;65,201;0,000
50,0;51,5;-1,5;62,151;-3,000;65,151;0,000
50,0;51,5;-1,5;62,101;-3,000;65,101;0,000
50,0;51,5;-1,5;62,052;-3,000;65,052;0,000
50,0;51,5;-1,5;62,002;-3,000;65,002;0,000
50,0;51,5;-1,5;61,952;-3,000;64,952;0,000
50,0;51,5;-1,5;61,902;-3,000;64,902;0,000
50,0;51,5;-1,5;61,852;-3,000;64,852;0,000
50,0;51,5;-1,5;61,802;-3,000;64,802;0,000
50,0;51,5;-1,5;61,752;-3,000;64,752;0,000
50,0;51,5;-1,5;61,702;-3,000;64,702;0,000
50,0;51,5;-1,5;61,652;-3,000;64,652;0,000
50,0;51,5;-1,5;61,602;-3,000;64,602;0,000
50,0;51,5;-1,5;61,552;-3,000;64,552;0,000
50,0;51,5;-1,5;61,502;-3,000;64,502;0,000
50,0;51,5;-1,5;61,452;-3,000;64,452;0,000
50,0;51,5;-1,5;61,402;-3,000;64,402;0,000
50,0;51,5;-1,5;61,352;-3,000;64,352;0,000
50,0;51,5;-1,5;61,302;-3,000;64,302;0,000
50,0;51,5;-1,5;61,252;-3,000;64,252;0,000
50,0;51,5;-1,5;61,202;-3,000;64,202;0,000
50,0;51,5;-1,5;61,152;-3,000;64,152;0,000
50,0;51,5;-1,5;61,102;-3,000;64,102;0,000
50,0;51,5;-1,5;61,053;-3,000;64,053;0,000
50,0;51,5;-1,5;61,003;-3,000;64,003;0,000
50,0;51,5;-1,5;60,953;-3,000;63,953;0,000
50,0;51,5;-1,5;60,903;-3,000;63,903;0,000
50,0;51,5;-1,5;60,853;-3,000;63,853;0,000
50,0;52,0;-2,0;59,636;-4,000;63,786;-0,150
50,0;51,5;-1,5;60,886;-3,000;63,736;0,150
50,0;52,0;-2,0;59,519;-4,000;63,670;-0,150
50,0;52,0;-2,0;59,603;-4,000;63,603;0,000
50,0;51,5;-1,5;60,703;-3,000;63,553;0,150
50,0;52,0;-2,0;59,336;-4,000;63,486;-0,150
50,0;52,0;-2,0;59,420;-4,000;63,420;0,000
50,0;52,0;-2,0;59,353;-4,000;63,353;0,000
50,0;52,0;-2,0;59,287;-4,000;63,287;0,000
50,0;52,0;-2,0;59,220;-4,000;63,220;0,000
50,0;52,0;-2,0;59,153;-4,000;63,153;0,000
50,0;52,0;-2,0;59,087;-4,000;63,087;0,000
50,0;52,0;-2,0;59,020;-4,000;63,020;0,000
50,0;52,0;-2,0;58,954;-4,000;62,954;0,000
50,0;52,0;-2,0;58,887;-4,000;62,887;0,000
50,0;52,0;-2,0;58,820;-4,000;62,820;0,000
50,0;52,0;-2,0;58,754;-4,000;62,754;0,000
50,0;52,0;-2,0;58,687;-4,000;62,687;0,000
50,0;52,0;-2,0;58,621;-4,000;62,621;0,000
50,0;52,0;-2,0;58,554;-4,000;62,554;0,000
50,0;52,0;-2,0;58,487;-4,000;62,487;0,000
50,0;52,0;-2,0;58,421;-4,000;62,421;0,000
50,0;52,0;-2,0;58,354;-4,000;62,354;0,000
50,0;52,0;-2,0;58,288;-4,000;62,288;0,000
50,0;52,0;-2,0;58,221;-4,000;62,221;0,000
50,0;52,0;-2,0;58,154;-4,000;62,154;0,000
50,0;52,0;-2,0;58,088;-4,000;62,088;0,000
50,0;52,0;-2,0;58,021;-4,000;62,021;0,000
50,0;52,0;-2,0;57,955;-4,000;61,955;0,000
50,0;52,0;-2,0;57,888;-4,000;61,888;0,000
50,0;52,0;-2,0;57,821;-4,000;61,821;0,000
50,0;52,0;-2,0;57,755;-4,000;61,755;0,000
50,0;52,0;-2,0;57,688;-4,000;61,688;0,000
50,0;52,0;-2,0;57,622;-4,000;61,622;0,000
50,0;52,0;-2,0;57,555;-4,000;61,555;0,000
50,0;52,0;-2,0;57,488;-4,000;61,488;0,000
50,0;52,0;-2,0;57,422;-4,000;61,422;0,000
50,0;52,0;-2,0;57,355;-4,000;61,355;0,000
50,0;52,0;-2,0;57,289;-4,000;61,289;0,000
50,0;52,0;-2,0;57,222;-4,000;61,222;0,000
50,0;52,0;-2,0;57,155;-4,000;61,155;0,000
50,0;52,0;-2,0;57,089;-4,000;61,089;0,000
50,0;52,0;-2,0;57,022;-4,000;61,022;0,000
50,0;52,0;-2,0;56,956;-4,000;60,956;0,000
50,0;52,0;-2,0;56,889;-4,000;60,889;0,000
50,0;52,0;-2,0;56,822;-4,000;60,822;0,000
50,0;52,0;-2,0;56,756;-4,000;60,756;0,000
50,0;52,0;-2,0;56,689;-4,000;60,689;0,000
50,0;52,0;-2,0;56,623;-4,000;60,623;0,000
50,0;52,0;-2,0;56,556;-4,000;60,556;0,000
50,0;52,0;-2,0;56,489;-4,000;60,489;0,000
50,0;52,0;-2,0;56,423;-4,000;60,423;0,000
50,0;52,0;-2,0;56,356;-4,000;60,356;0,000
50,0;52,0;-2,0;56,290;-4,000;60,290;0,000
50,0;52,0;-2,0;56,223;-4,000;60,223;0,000
50,0;52,0;-2,0;56,156;-4,000;60,156;0,000
50,0;52,0;-2,0;56,090;-4,000;60,090;0,000
50,0;52,0;-2,0;56,023;-4,000;60,023;0,000
50,0;52,0;-2,0;55,957;-4,000;59,957;0,000
50,0;52,0;-2,0;55,890;-4,000;59,890;0,000
50,0;52,0;-2,0;55,823;-4,000;59,823;0,000
50,0;52,0;-2,0;55,757;-4,000;59,757;0,000
50,0;52,0;-2,0;55,690;-4,000;59,690;0,000
50,0;52,0;-2,0;55,624;-4,000;59,624;0,000
50,0;52,0;-2,0;55,557;-4,000;59,557;0,000
50,0;52,0;-2,0;55,490;-4,000;59,490;0,000
50,0;52,0;-2,0;55,424;-4,000;59,424;0,000
50,0;52,0;-2,0;55,357;-4,000;59,357;0,000
50,0;52,0;-2,0;55,290;-4,000;59,290;0,000
50,0;52,0;-2,0;55,224;-4,000;59,224;0,000
50,0;52,0;-2,0;55,157;-4,000;59,157;0,000
50,0;52,0;-2,0;55,091;-4,000;59,091;0,000
50,0;52,0;-2,0;55,024;-4,000;59,024;0,000
50,0;52,0;-2,0;54,957;-4,000;58,957;0,000
50,0;52,0;-2,0;54,891;-4,000;58,891;0,000
50,0;52,0;-2,0;54,824;-4,000;58,824;0,000
50,0;52,0;-2,0;54,758;-4,000;58,758;0,000
50,0;52,0;-2,0;54,691;-4,000;58,691;0,000
50,0;52,0;-2,0;54,624;-4,000;58,624;0,000
50,0;52,0;-2,0;54,558;-4,000;58,558;0,000
50,0;52,0;-2,0;54,491;-4,000;58,491;0,000
50,0;52,0;-2,0;54,425;-4,000;58,425;0,000
50,0;52,0;-2,0;54,358;-4,000;58,358;0,000
50,0;52,0;-2,0;54,291;-4,000;58,291;0,000
50,0;52,0;-2,0;54,225;-4,000;58,225;0,000
50,0;52,0;-2,0;54,158;-4,000;58,158;0,000
50,0;52,0;-2,0;54,092;-4,000;58,092;0,000
50,0;52,0;-2,0;54,025;-4,000;58,025;0,000
50,0;52,0;-2,0;53,958;-4,000;57,958;0,000
50,0;52,0;-2,0;53,892;-4,000;57,892;0,000
50,0;52,0;-2,0;53,825;-4,000;57,825;0,000
50,0;52,0;-2,0;53,759;-4,000;57,759;0,000
50,0;52,0;-2,0;53,692;-4,000;57,692;0,000
50,0;52,0;-2,0;53,625;-4,000;57,625;0,000
50,0;52,0;-2,0;53,559;-4,000;57,559;0,000
50,0;51,5;-1,5;54,659;-3,000;57,509;0,150
50,0;51,5;-1,5;54,459;-3,000;57,459;0,000
50,0;52,0;-2,0;53,242;-4,000;57,392;-0,150
50,0;51,5;-1,5;54,493;-3,000;57,342;0,150
50,0;51,5;-1,5;54,292;-3,000;57,292;0,000
50,0;51,5;-1,5;54,243;-3,000;57,243;0,000
50,0;51,5;-1,5;54,193;-3,000;57,193;0,000
50,0;51,5;-1,5;54,143;-3,000;57,143;0,000
50,0;51,5;-1,5;54,093;-3,000;57,093;0,000
50,0;51,5;-1,5;54,043;-3,000;57,043;0,000
50,0;51,5;-1,5;53,993;-3,000;56,993;0,000
50,0;51,5;-1,5;53,943;-3,000;56,943;0,000
50,0;51,5;-1,5;53,893;-3,000;56,893;0,000
50,0;51,5;-1,5;53,843;-3,000;56,843;0,000
50,0;51,5;-1,5;53,793;-3,000;56,793;0,000
50,0;51,5;-1,5;53,743;-3,000;56,743;0,000
50,0;51,5;-1,5;53,693;-3,000;56,693;0,000
50,0;51,5;-1,5;53,643;-3,000;56,643;0,000
50,0;51,5;-1,5;53,593;-3,000;56,593;0,000
50,0;51,5;-1,5;53,543;-3,000;56,543;0,000
50,0;51,5;-1,5;53,493;-3,000;56,493;0,000
50,0;51,5;-1,5;53,443;-3,000;56,443;0,000
50,0;51,5;-1,5;53,393;-3,000;56,393;0,000
50,0;51,5;-1,5;53,343;-3,000;56,343;0,000
50,0;51,5;-1,5;53,293;-3,000;56,293;0,000
50,0;51,5;-1,5;53,243;-3,000;56,243;0,000
50,0;51,5;-1,5;53,194;-3,000;56,194;0,000
50,0;51,5;-1,5;53,144;-3,000;56,144;0,000
50,0;51,5;-1,5;53,094;-3,000;56,094;0,000
50,0;51,5;-1,5;53,044;-3,000;56,044;0,000
50,0;51,5;-1,5;52,994;-3,000;55,994;0,000
50,0;51,5;-1,5;52,944;-3,000;55,944;0,000
50,0;51,5;-1,5;52,894;-3,000;55,894;0,000
50,0;51,5;-1,5;52,844;-3,000;55,844;0,000
50,0;51,5;-1,5;52,794;-3,000;55,794;0,000
50,0;51,5;-1,5;52,744;-3,000;55,744;0,000
50,0;51,5;-1,5;52,694;-3,000;55,694;0,000
50,0;51,5;-1,5;52,644;-3,000;55,644;0,000
50,0;51,5;-1,5;52,594;-3,000;55,594;0,000
50,0;51,5;-1,5;52,544;-3,000;55,544;0,000
50,0;51,5;-1,5;52,494;-3,000;55,494;0,000
50,0;51,5;-1,5;52,444;-3,000;55,444;0,000
50,0;51,5;-1,5;52,394;-3,000;55,394;0,000
50,0;51,5;-1,5;52,344;-3,000;55,344;0,000
50,0;51,5;-1,5;52,294;-3,000;55,294;0,000
50,0;51,5;-1,5;52,244;-3,000;55,244;0,000
50,0;51,5;-1,5;52,194;-3,000;55,194;0,000
50,0;51,5;-1,5;52,145;-3,000;55,145;0,000
50,0;51,5;-1,5;52,095;-3,000;55,095;0,000
50,0;51,5;-1,5;52,045;-3,000;55,045;0,000
50,0;51,5;-1,5;51,995;-3,000;54,995;0,000
50,0;51,5;-1,5;51,945;-3,000;54,945;0,000
50,0;51,5;-1,5;51,895;-3,000;54,895;0,000
50,0;51,5;-1,5;51,845;-3,000;54,845;0,000
50,0;51,5;-1,5;51,795;-3,000;54,795;0,000
50,0;51,5;-1,5;51,745;-3,000;54,745;0,000
50,0;51,5;-1,5;51,695;-3,000;54,695;0,000
50,0;51,5;-1,5;51,645;-3,000;54,645;0,000
50,0;51,5;-1,5;51,595;-3,000;54,595;0,000
50,0;51,5;-1,5;51,545;-3,000;54,545;0,000
50,0;51,5;-1,5;51,495;-3,000;54,495;0,000
50,0;51,5;-1,5;51,445;-3,000;54,445;0,000
50,0;51,5;-1,5;51,395;-3,000;54,395;0,000
50,0;51,5;-1,5;51,345;-3,000;54,345;0,000
50,0;51,5;-1,5;51,295;-3,000;54,295;0,000
50,0;51,5;-1,5;51,245;-3,000;54,245;0,000
50,0;51,5;-1,5;51,195;-3,000;54,195;0,000
50,0;51,5;-1,5;51,146;-3,000;54,146;0,000
50,0;51,5;-1,5;51,096;-3,000;54,096;0,000
50,0;51,5;-1,5;51,046;-3,000;54,046;0,000
