Taget:	Current:	Delta:	PWM:	pp:	ip:	dp:	Time: 			Initial	tcGoal	rtLow	rtHigh		kp	Ki	kd
50	41,5	8,5	69,456	8,5	60,956	0	39,294										
50	41,5	8,5	69,739	8,5	61,239	0	39,627										
50	41,5	8,5	70,022	8,5	61,522	0	39,96										
50	41,5	8,5	70,305	8,5	61,805	0	40,293										
50	42	8	70,071	8	62,071	0	40,626										
50	42	8	70,338	8	62,338	0	40,959										
50	42	8	70,604	8	62,604	0	41,292										
50	42	8	70,87	8	62,87	0	41,625										
50	42,5	7,5	70,62	7,5	63,12	0	41,958										
50	42,5	7,5	70,87	7,5	63,37	0	42,291										
50	42,5	7,5	71,12	7,5	63,62	0	42,624										
50	42,5	7,5	71,369	7,5	63,869	0	42,957										
50	42,5	7,5	71,619	7,5	64,119	0	43,29										
50	43	7	71,352	7	64,352	0	43,623										
50	43	7	71,585	7	64,585	0	43,956										
50	43	7	71,819	7	64,819	0	44,289										
50	43	7	72,052	7	65,052	0	44,622										
50	43	7	72,285	7	65,285	0	44,955										
50	43,5	6,5	72,001	6,5	65,501	0	45,288										
50	43,5	6,5	72,218	6,5	65,718	0	45,621										
50	43,5	6,5	72,434	6,5	65,934	0	45,954										
50	43,5	6,5	72,651	6,5	66,151	0	46,287										
50	44	6	72,35	6	66,35	0	46,62										
50	44	6	72,55	6	66,55	0	46,953										
50	44	6	72,75	6	66,75	0	47,286										
50	44	6	72,95	6	66,95	0	47,619										
50	44	6	73,15	6	67,15	0	47,952										
50	44,5	5,5	72,833	5,5	67,333	0	48,285										
50	44,5	5,5	73,016	5,5	67,516	0	48,618										
50	44,5	5,5	73,199	5,5	67,699	0	48,951										
50	44,5	5,5	73,382	5,5	67,882	0	49,284										
50	44,5	5,5	73,565	5,5	68,065	0	49,617										
50	45	5	73,232	5	68,232	0	49,95										
50	45	5	73,398	5	68,398	0	50,283										
50	45	5	73,565	5	68,565	0	50,616										
50	45	5	73,731	5	68,731	0	50,949										
50	45	5	73,898	5	68,898	0	51,282										
50	45	5	74,064	5	69,064	0	51,615										
50	45,5	4,5	73,714	4,5	69,214	0	51,948										
50	45,5	4,5	73,864	4,5	69,364	0	52,281										
50	45,5	4,5	74,014	4,5	69,514	0	52,614										
50	45,5	4,5	74,164	4,5	69,664	0	52,947										
50	45,5	4,5	74,313	4,5	69,813	0	53,28										
50	46	4	73,947	4	69,947	0	53,613										
50	46	4	74,08	4	70,08	0	53,946										
50	46	4	74,213	4	70,213	0	54,279										
50	46	4	74,346	4	70,346	0	54,612										
50	46	4	74,479	4	70,479	0	54,945										
50	46	4	74,613	4	70,613	0	55,278										
50	46,5	3,5	74,229	3,5	70,729	0	55,611										
50	46,5	3,5	74,346	3,5	70,846	0	55,944										
50	46,5	3,5	74,462	3,5	70,962	0	56,277										
50	46,5	3,5	74,579	3,5	71,079	0	56,61										
50	46,5	3,5	74,695	3,5	71,195	0	56,943										
50	46,5	3,5	74,812	3,5	71,312	0	57,276										
50	47	3	74,412	3	71,412	0	57,609										
50	47	3	74,512	3	71,512	0	57,942										
50	47	3	74,612	3	71,612	0	58,275										
50	47	3	74,712	3	71,712	0	58,608										
50	47	3	74,811	3	71,811	0	58,941										
50	47	3	74,911	3	71,911	0	59,274										
50	47,5	2,5	74,495	2,5	71,995	0	59,607										
50	47,5	2,5	74,578	2,5	72,078	0	59,94										
50	47,5	2,5	74,661	2,5	72,161	0	60,273										
50	47,5	2,5	74,744	2,5	72,244	0	60,606										
50	47,5	2,5	74,828	2,5	72,328	0	60,939										
50	47,5	2,5	74,911	2,5	72,411	0	61,272										
50	48	2	74,478	2	72,478	0	61,605										
50	48	2	74,544	2	72,544	0	61,938										
50	48	2	74,611	2	72,611	0	62,271										
50	48	2	74,677	2	72,677	0	62,604										
50	48	2	74,744	2	72,744	0	62,937										
50	48	2	74,811	2	72,811	0	63,27										
50	48	2	74,877	2	72,877	0	63,603										
50	48,5	1,5	74,427	1,5	72,927	0	63,936										
50	48,5	1,5	74,477	1,5	72,977	0	64,269										
50	48,5	1,5	74,527	1,5	73,027	0	64,602										
50	48,5	1,5	74,577	1,5	73,077	0	64,935										
50	48,5	1,5	74,627	1,5	73,127	0	65,268										
50	48,5	1,5	74,677	1,5	73,177	0	65,601										
50	48,5	1,5	74,727	1,5	73,227	0	65,934										
50	49	1	74,26	1	73,26	0	66,267										
50	49	1	74,293	1	73,293	0	66,6										
50	49	1	74,327	1	73,327	0	66,933										
50	49	1	74,36	1	73,36	0	67,266										
50	49	1	74,393	1	73,393	0	67,599										
50	49	1	74,427	1	73,427	0	67,932										
50	49	1	74,46	1	73,46	0	68,265										
50	49,5	0,5	73,977	0,5	73,477	0	68,598										
50	49,5	0,5	73,993	0,5	73,493	0	68,931										
50	49,5	0,5	74,01	0,5	73,51	0	69,264										
50	49,5	0,5	74,026	0,5	73,526	0	69,597										
50	49,5	0,5	74,043	0,5	73,543	0	69,93										
50	49,5	0,5	74,06	0,5	73,56	0	70,263										
50	49,5	0,5	74,076	0,5	73,576	0	70,596										
50	49,5	0,5	74,093	0,5	73,593	0	70,929										
50	50	0	73,593	0	73,593	0	71,262										
50	50	0	73,593	0	73,593	0	71,595										
50	50	0	73,593	0	73,593	0	71,928										
50	50	0	73,593	0	73,593	0	72,261										
50	50	0	73,593	0	73,593	0	72,594										
50	50	0	73,593	0	73,593	0	72,927										
50	50	0	73,593	0	73,593	0	73,26										
50	50	0	73,593	0	73,593	0	73,593										
50	50,5	-0,5	73,076	-0,5	73,576	0	73,926										
50	50,5	-0,5	73,06	-0,5	73,56	0	74,259										
50	50,5	-0,5	73,043	-0,5	73,543	0	74,592										
50	50,5	-0,5	73,026	-0,5	73,526	0	74,925										
50	50,5	-0,5	73,01	-0,5	73,51	0	75,258										
50	50,5	-0,5	72,993	-0,5	73,493	0	75,591										
50	50,5	-0,5	72,977	-0,5	73,477	0	75,924										
50	50,5	-0,5	72,96	-0,5	73,46	0	76,257										
50	50,5	-0,5	72,943	-0,5	73,443	0	76,59										
50	50,5	-0,5	72,927	-0,5	73,427	0	76,923										
50	51	-1	72,393	-1	73,393	0	77,256										
50	51	-1	72,36	-1	73,36	0	77,589										
50	51	-1	72,327	-1	73,327	0	77,922										
50	51	-1	72,293	-1	73,293	0	78,255										
50	51	-1	72,26	-1	73,26	0	78,588										
50	51	-1	72,227	-1	73,227	0	78,921										
50	51	-1	72,193	-1	73,193	0	79,254										
50	51	-1	72,16	-1	73,16	0	79,587										
50	51	-1	72,127	-1	73,127	0	79,92										
50	51	-1	72,094	-1	73,094	0	80,253										
50	51	-1	72,06	-1	73,06	0	80,586										
50	51	-1	72,027	-1	73,027	0	80,919										
50	51,5	-1,5	71,477	-1,5	72,977	0	81,252										
50	51,5	-1,5	71,427	-1,5	72,927	0	81,585										
