Kp:;2,000;Ki:;0,100;Kd:;0,000
Taget:;Current:;Delta:;PWM:;pp:;ip:;dp:
50,0;0,0;50,0;101,665;100,000;1,665;0,000
50,0;29,5;20,5;43,348;41,000;2,348;-0,000
50,0;29,5;20,5;44,030;41,000;3,030;0,000
50,0;29,5;20,5;44,713;41,000;3,713;0,000
50,0;30,0;20,0;44,379;40,000;4,379;-0,000
50,0;30,0;20,0;45,045;40,000;5,045;0,000
50,0;30,0;20,0;45,711;40,000;5,711;0,000
50,0;30,0;20,0;46,377;40,000;6,377;0,000
50,0;30,5;19,5;46,026;39,000;7,026;-0,000
50,0;30,5;19,5;46,676;39,000;7,676;0,000
50,0;30,5;19,5;47,325;39,000;8,325;0,000
50,0;30,5;19,5;47,974;39,000;8,974;0,000
50,0;31,0;19,0;47,607;38,000;9,607;-0,000
50,0;31,0;19,0;48,240;38,000;10,240;0,000
50,0;31,0;19,0;48,872;38,000;10,872;0,000
50,0;31,0;19,0;49,505;38,000;11,505;0,000
50,0;31,5;18,5;49,121;37,000;12,121;-0,000
50,0;31,5;18,5;49,737;37,000;12,737;0,000
50,0;31,5;18,5;50,353;37,000;13,353;0,000
50,0;31,5;18,5;50,969;37,000;13,969;0,000
50,0;32,0;18,0;50,569;36,000;14,569;-0,000
50,0;32,0;18,0;51,168;36,000;15,168;0,000
50,0;32,0;18,0;51,768;36,000;15,768;0,000
50,0;32,0;18,0;52,367;36,000;16,367;0,000
50,0;32,5;17,5;51,950;35,000;16,950;-0,000
50,0;32,5;17,5;52,532;35,000;17,532;0,000
50,0;32,5;17,5;53,115;35,000;18,115;0,000
50,0;33,0;17,0;52,681;34,000;18,681;-0,000
50,0;33,0;17,0;53,247;34,000;19,247;0,000
50,0;33,0;17,0;53,814;34,000;19,814;0,000
50,0;33,0;17,0;54,380;34,000;20,380;0,000
50,0;33,5;16,5;53,929;33,000;20,929;-0,000
50,0;33,5;16,5;54,479;33,000;21,479;0,000
50,0;33,5;16,5;55,028;33,000;22,028;0,000
50,0;33,5;16,5;55,577;33,000;22,577;0,000
50,0;34,0;16,0;55,110;32,000;23,110;-0,000
50,0;34,0;16,0;55,643;32,000;23,643;0,000
50,0;34,0;16,0;56,176;32,000;24,176;0,000
50,0;34,0;16,0;56,709;32,000;24,709;0,000
50,0;34,5;15,5;56,225;31,000;25,225;-0,000
50,0;34,5;15,5;56,741;31,000;25,741;0,000
50,0;34,5;15,5;57,257;31,000;26,257;0,000
50,0;34,5;15,5;57,773;31,000;26,773;0,000
50,0;35,0;15,0;57,273;30,000;27,273;-0,000
50,0;35,0;15,0;57,772;30,000;27,772;0,000
50,0;35,0;15,0;58,272;30,000;28,272;0,000
50,0;35,0;15,0;58,771;30,000;28,771;0,000
50,0;35,5;14,5;58,254;29,000;29,254;-0,000
50,0;35,5;14,5;58,737;29,000;29,737;0,000
50,0;35,5;14,5;59,220;29,000;30,220;0,000
50,0;35,5;14,5;59,703;29,000;30,703;0,000
50,0;36,0;14,0;59,169;28,000;31,169;-0,000
50,0;36,0;14,0;59,635;28,000;31,635;0,000
50,0;36,0;14,0;60,101;28,000;32,101;0,000
50,0;36,0;14,0;60,567;28,000;32,567;0,000
50,0;36,5;13,5;60,017;27,000;33,017;-0,000
50,0;36,5;13,5;60,466;27,000;33,466;0,000
50,0;36,5;13,5;60,916;27,000;33,916;0,000
50,0;36,5;13,5;61,366;27,000;34,366;0,000
