Taget:;Current:;Delta:;PWM:;pp:;ip:;dp:
50,0;42,5;7,5;67,731;15,000;52,731;0,000
50,0;42,5;7,5;67,980;15,000;52,980;0,000
50,0;43,0;7,0;67,063;14,000;53,213;-0,150
50,0;43,0;7,0;67,447;14,000;53,447;0,000
50,0;43,0;7,0;67,680;14,000;53,680;0,000
50,0;43,0;7,0;67,913;14,000;53,913;0,000
50,0;43,0;7,0;68,146;14,000;54,146;0,000
50,0;43,5;6,5;67,212;13,000;54,362;-0,150
50,0;43,5;6,5;67,579;13,000;54,579;0,000
50,0;43,5;6,5;67,795;13,000;54,795;0,000
50,0;43,5;6,5;68,012;13,000;55,012;0,000
50,0;43,5;6,5;68,228;13,000;55,228;0,000
50,0;43,5;6,5;68,445;13,000;55,444;0,000
50,0;44,0;6,0;67,494;12,000;55,644;-0,150
50,0;44,0;6,0;67,844;12,000;55,844;0,000
50,0;44,0;6,0;68,044;12,000;56,044;0,000
50,0;44,0;6,0;68,244;12,000;56,244;0,000
50,0;44,0;6,0;68,443;12,000;56,443;0,000
50,0;44,0;6,0;68,643;12,000;56,643;0,000
50,0;44,5;5,5;67,676;11,000;56,826;-0,150
50,0;44,5;5,5;68,010;11,000;57,010;0,000
50,0;44,5;5,5;68,193;11,000;57,193;0,000
50,0;44,5;5,5;68,376;11,000;57,376;0,000
50,0;44,5;5,5;68,559;11,000;57,559;0,000
50,0;44,5;5,5;68,742;11,000;57,742;0,000
50,0;45,0;5,0;67,759;10,000;57,909;-0,150
50,0;45,0;5,0;68,075;10,000;58,075;0,000
50,0;45,0;5,0;68,242;10,000;58,242;0,000
50,0;45,0;5,0;68,408;10,000;58,408;0,000
50,0;45,0;5,0;68,575;10,000;58,575;0,000
50,0;45,0;5,0;68,741;10,000;58,741;0,000
50,0;45,5;4,5;67,741;9,000;58,891;-0,150
50,0;45,5;4,5;68,041;9,000;59,041;0,000
50,0;45,5;4,5;68,191;9,000;59,191;0,000
50,0;45,5;4,5;68,341;9,000;59,341;0,000
50,0;45,5;4,5;68,490;9,000;59,490;0,000
50,0;45,5;4,5;68,640;9,000;59,640;0,000
50,0;45,5;4,5;68,790;9,000;59,790;0,000
50,0;46,0;4,0;67,773;8,000;59,923;-0,150
50,0;46,0;4,0;68,056;8,000;60,056;0,000
50,0;46,0;4,0;68,190;8,000;60,190;0,000
50,0;46,0;4,0;68,323;8,000;60,323;0,000
50,0;46,0;4,0;68,456;8,000;60,456;0,000
50,0;46,0;4,0;68,589;8,000;60,589;0,000
50,0;46,0;4,0;68,722;8,000;60,722;0,000
50,0;46,5;3,5;67,689;7,000;60,839;-0,150
50,0;46,5;3,5;67,956;7,000;60,956;0,000
50,0;46,5;3,5;68,072;7,000;61,072;0,000
50,0;46,5;3,5;68,189;7,000;61,189;0,000
50,0;46,5;3,5;68,305;7,000;61,305;0,000
50,0;46,5;3,5;68,422;7,000;61,422;0,000
50,0;46,5;3,5;68,538;7,000;61,538;0,000
50,0;46,5;3,5;68,655;7,000;61,655;0,000
50,0;47,0;3,0;67,605;6,000;61,755;-0,150
50,0;47,0;3,0;67,855;6,000;61,855;0,000
50,0;47,0;3,0;67,955;6,000;61,955;0,000
50,0;47,0;3,0;68,055;6,000;62,055;0,000
50,0;47,0;3,0;68,154;6,000;62,154;0,000
50,0;47,0;3,0;68,254;6,000;62,254;0,000
50,0;47,0;3,0;68,354;6,000;62,354;0,000
50,0;47,0;3,0;68,454;6,000;62,454;0,000
50,0;47,5;2,5;67,387;5,000;62,537;-0,150
50,0;47,5;2,5;67,621;5,000;62,621;0,000
50,0;47,5;2,5;67,704;5,000;62,704;0,000
50,0;47,5;2,5;67,787;5,000;62,787;0,000
50,0;47,5;2,5;67,870;5,000;62,870;0,000
50,0;47,5;2,5;67,954;5,000;62,954;0,000
50,0;47,5;2,5;68,037;5,000;63,037;0,000
50,0;48,0;2,0;66,953;4,000;63,103;-0,150
50,0;48,0;2,0;67,170;4,000;63,170;0,000
50,0;48,0;2,0;67,237;4,000;63,237;0,000
50,0;48,0;2,0;67,303;4,000;63,303;0,000
50,0;48,0;2,0;67,370;4,000;63,370;0,000
50,0;48,0;2,0;67,436;4,000;63,436;0,000
50,0;48,0;2,0;67,503;4,000;63,503;0,000
50,0;48,0;2,0;67,570;4,000;63,570;0,000
50,0;48,0;2,0;67,636;4,000;63,636;0,000
50,0;48,0;2,0;67,703;4,000;63,703;0,000
50,0;48,5;1,5;66,603;3,000;63,753;-0,150
50,0;48,5;1,5;66,803;3,000;63,803;0,000
50,0;48,5;1,5;66,853;3,000;63,853;0,000
50,0;48,5;1,5;66,903;3,000;63,903;0,000
50,0;48,5;1,5;66,953;3,000;63,953;0,000
50,0;48,5;1,5;67,003;3,000;64,003;0,000
50,0;48,5;1,5;67,053;3,000;64,053;0,000
